,tx_id,time,inputs,outputs
13,7294c8bb4a81fa4628eea2dcba7bae9da00e99159c8e105bdd7e374414ce27e3,2021-10-08 18:25:07,"[('18BW9t7YB8G8PTSdcP7mSZyHvQMoz7MZG6', 3254088), ('18BW9t7YB8G8PTSdcP7mSZyHvQMoz7MZG6', 1806390), ('18BW9t7YB8G8PTSdcP7mSZyHvQMoz7MZG6', 1603472), ('18BW9t7YB8G8PTSdcP7mSZyHvQMoz7MZG6', 358473)]","[('12bMvUUQNhStsQ4JTaQ6mMcbE4qMspm7oL', 7010232)]"
14,dccd3d063a3a9ca7dab228f21a7be45df08dfa527386357a16bb6cc1765a24ec,2021-10-07 20:11:52,"[('18BW9t7YB8G8PTSdcP7mSZyHvQMoz7MZG6', 1973630), ('18BW9t7YB8G8PTSdcP7mSZyHvQMoz7MZG6', 1624280), ('bc1qn3qd8nl0k5uvussrdkq93wrwz9ed4vh4l2krd3', 1022581), ('18BW9t7YB8G8PTSdcP7mSZyHvQMoz7MZG6', 3247704), ('18BW9t7YB8G8PTSdcP7mSZyHvQMoz7MZG6', 1849951)]","[('12bMvUUQNhStsQ4JTaQ6mMcbE4qMspm7oL', 9703881)]"
15,714820e7110fbe2c248edd10f42c40250df9c5e8cf0f3e273864e6e2f391a26a,2021-10-07 16:13:53,"[('18BW9t7YB8G8PTSdcP7mSZyHvQMoz7MZG6', 897322), ('18BW9t7YB8G8PTSdcP7mSZyHvQMoz7MZG6', 1065216)]","[('bc1qn3qd8nl0k5uvussrdkq93wrwz9ed4vh4l2krd3', 1022581), ('1NKtFTKYFQD1ce9fZihM5WPmhq93SzV7Aa', 929439)]"
16,258a4ff4e27838579f222b57eddeaecd5ab383d86c3fb0f54d0996ae2db77b4d,2021-10-24 15:55:01,"[('18BW9t7YB8G8PTSdcP7mSZyHvQMoz7MZG6', 507160), ('18BW9t7YB8G8PTSdcP7mSZyHvQMoz7MZG6', 546392), ('18BW9t7YB8G8PTSdcP7mSZyHvQMoz7MZG6', 779856), ('18BW9t7YB8G8PTSdcP7mSZyHvQMoz7MZG6', 1281664), ('18BW9t7YB8G8PTSdcP7mSZyHvQMoz7MZG6', 1562048), ('18BW9t7YB8G8PTSdcP7mSZyHvQMoz7MZG6', 303024)]","[('12bMvUUQNhStsQ4JTaQ6mMcbE4qMspm7oL', 4977179)]"
17,4f4b803376476253e5790230d876bfd5bfcefafa368ab02aaf14361f8fae0011,2021-10-14 19:09:44,"[('18BW9t7YB8G8PTSdcP7mSZyHvQMoz7MZG6', 2260000)]","[('12bMvUUQNhStsQ4JTaQ6mMcbE4qMspm7oL', 2255990)]"
18,c9675f8fe4628fdcdc80dceff86ee86167b4591bd83cd9baa00d9290d9132cbf,2021-10-12 15:44:16,"[('18BW9t7YB8G8PTSdcP7mSZyHvQMoz7MZG6', 1616392), ('18BW9t7YB8G8PTSdcP7mSZyHvQMoz7MZG6', 3240776), ('18BW9t7YB8G8PTSdcP7mSZyHvQMoz7MZG6', 2617877), ('18BW9t7YB8G8PTSdcP7mSZyHvQMoz7MZG6', 522079)]","[('12bMvUUQNhStsQ4JTaQ6mMcbE4qMspm7oL', 7974097)]"
19,90b3ddc07859fadf3967eac881d8e4d379c857daf8b886ffe6f329f1b13e813c,2021-10-09 17:40:34,"[('18BW9t7YB8G8PTSdcP7mSZyHvQMoz7MZG6', 1620008)]","[('17shkYAS1GaFimxw5GG9oDYZERNEF3jat1', 1617475)]"
20,1a418a10d2a6b39d61d56d52991eabbf99e8dbb15febc2a1ef8669cd4a35fee7,2021-10-09 17:09:31,"[('18BW9t7YB8G8PTSdcP7mSZyHvQMoz7MZG6', 1635088)]","[('17shkYAS1GaFimxw5GG9oDYZERNEF3jat1', 1630444)]"
21,7294c8bb4a81fa4628eea2dcba7bae9da00e99159c8e105bdd7e374414ce27e3,2021-10-08 18:25:07,"[('18BW9t7YB8G8PTSdcP7mSZyHvQMoz7MZG6', 3254088), ('18BW9t7YB8G8PTSdcP7mSZyHvQMoz7MZG6', 1806390), ('18BW9t7YB8G8PTSdcP7mSZyHvQMoz7MZG6', 1603472), ('18BW9t7YB8G8PTSdcP7mSZyHvQMoz7MZG6', 358473)]","[('12bMvUUQNhStsQ4JTaQ6mMcbE4qMspm7oL', 7010232)]"
22,dccd3d063a3a9ca7dab228f21a7be45df08dfa527386357a16bb6cc1765a24ec,2021-10-07 20:11:52,"[('18BW9t7YB8G8PTSdcP7mSZyHvQMoz7MZG6', 1973630), ('18BW9t7YB8G8PTSdcP7mSZyHvQMoz7MZG6', 1624280), ('bc1qn3qd8nl0k5uvussrdkq93wrwz9ed4vh4l2krd3', 1022581), ('18BW9t7YB8G8PTSdcP7mSZyHvQMoz7MZG6', 3247704), ('18BW9t7YB8G8PTSdcP7mSZyHvQMoz7MZG6', 1849951)]","[('12bMvUUQNhStsQ4JTaQ6mMcbE4qMspm7oL', 9703881)]"
23,714820e7110fbe2c248edd10f42c40250df9c5e8cf0f3e273864e6e2f391a26a,2021-10-07 16:13:53,"[('18BW9t7YB8G8PTSdcP7mSZyHvQMoz7MZG6', 897322), ('18BW9t7YB8G8PTSdcP7mSZyHvQMoz7MZG6', 1065216)]","[('bc1qn3qd8nl0k5uvussrdkq93wrwz9ed4vh4l2krd3', 1022581), ('1NKtFTKYFQD1ce9fZihM5WPmhq93SzV7Aa', 929439)]"
