,tx_id,time,inputs,outputs
10,547dd2b925149ffbb120054cd42bdcaa48ee0fbceff25f48271edc21b3b4145d,2021-09-16 11:27:38,"[('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 949500)]","[('1C7N4h2GVpcr9Hve39EGhbZVKsgDKw2xZp', 944343)]"
11,753e2abc8c67be647aa8f2ebc51f6214ed7f2cdc05a9056f0c975b8e6e1e3b78,2021-09-03 11:27:33,"[('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 310675), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 310675), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 310675), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 310675), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 1386725), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 86750), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 120450), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 539900), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 397375), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 330175), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 151525)]","[('1C7N4h2GVpcr9Hve39EGhbZVKsgDKw2xZp', 4227363)]"
12,839365affc65aeb88539f021c0b6d18afbc5e6cd9293287f745d1b11f0f4c7ce,2021-08-23 12:53:59,"[('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 2128650), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 54369), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 4479)]","[('1C7N4h2GVpcr9Hve39EGhbZVKsgDKw2xZp', 2179253)]"
13,675568b8f4c8b26baaa6f277ab8dda999b2378c5a53e529b567acbad3db6c26c,2021-08-22 13:46:33,"[('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 134400), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 339900), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 272700), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 168248), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 32474)]","[('18hNdYPhZN9hLxgnins8BCQHzwvMXJ7cai', 930000), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 4479)]"
14,e4d9da6700a94d0d37dc19c13e67b27a87d331a4c57ad6d1b0fcf19a6affca72,2021-08-19 07:20:11,"[('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 2556450), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 277200), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 306450), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 63000), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 36005), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 9111)]","[('1JuwPKtQJuuX2aFM7ytmxQfb71Ds88JEcQ', 3200000), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 32474)]"
15,547dd2b925149ffbb120054cd42bdcaa48ee0fbceff25f48271edc21b3b4145d,2021-09-16 11:27:38,"[('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 949500)]","[('1C7N4h2GVpcr9Hve39EGhbZVKsgDKw2xZp', 944343)]"
16,753e2abc8c67be647aa8f2ebc51f6214ed7f2cdc05a9056f0c975b8e6e1e3b78,2021-09-03 11:27:33,"[('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 310675), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 310675), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 310675), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 310675), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 1386725), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 86750), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 120450), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 539900), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 397375), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 330175), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 151525)]","[('1C7N4h2GVpcr9Hve39EGhbZVKsgDKw2xZp', 4227363)]"
17,839365affc65aeb88539f021c0b6d18afbc5e6cd9293287f745d1b11f0f4c7ce,2021-08-23 12:53:59,"[('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 2128650), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 54369), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 4479)]","[('1C7N4h2GVpcr9Hve39EGhbZVKsgDKw2xZp', 2179253)]"
18,675568b8f4c8b26baaa6f277ab8dda999b2378c5a53e529b567acbad3db6c26c,2021-08-22 13:46:33,"[('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 134400), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 339900), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 272700), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 168248), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 32474)]","[('18hNdYPhZN9hLxgnins8BCQHzwvMXJ7cai', 930000), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 4479)]"
19,e4d9da6700a94d0d37dc19c13e67b27a87d331a4c57ad6d1b0fcf19a6affca72,2021-08-19 07:20:11,"[('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 2556450), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 277200), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 306450), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 63000), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 36005), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 9111)]","[('1JuwPKtQJuuX2aFM7ytmxQfb71Ds88JEcQ', 3200000), ('16BnQdqAjwTm7mH98evcq4kSfYrK7F2547', 32474)]"
