,tx_id,time,inputs,outputs
18,a247a7cd1af3c717ace7552ee22ec7d922d09ab1a54d5663749240d11aa76356,2021-10-14 10:37:32,"[('bc1qz4dgkqyvnw68uq4a46um75qvdsaem86ehwu96s', 714946), ('bc1qp8n6hu0wpf0dud8dj0tcajeu8yve7a7lp8grld', 457680), ('bc1qusgtrzv86w0gq2s3yc4j2r89kuq93454w307dq', 434331), ('bc1qusgtrzv86w0gq2s3yc4j2r89kuq93454w307dq', 411307), ('bc1qusgtrzv86w0gq2s3yc4j2r89kuq93454w307dq', 394266), ('bc1q84eq400024g4gxls905uvfyg2fw0wv3g4vatpj', 346920)]","[('1GcSFsUjfxrWH16KmeNb6sNNs1vDeDkVUN', 2429022), ('bc1qqg4w922hpl90e9sxs8vvkec3xyk3rpnjdktvaj', 325022)]"
19,4e9907752932c72f1f46bbfde43cebd880de4281464079bfcef1f96627629a62,2021-10-12 06:27:52,"[('bc1qusgtrzv86w0gq2s3yc4j2r89kuq93454w307dq', 878621), ('bc1qusgtrzv86w0gq2s3yc4j2r89kuq93454w307dq', 472406), ('bc1qusgtrzv86w0gq2s3yc4j2r89kuq93454w307dq', 472073), ('bc1qa5rpe5zn5mmr4cefhmfncsmnsam0nxfyhgk4u3', 468812)]","[('1GcSFsUjfxrWH16KmeNb6sNNs1vDeDkVUN', 2258649), ('bc1ql37clypkceaz9t3dfrz3g52gjnagzeh3a3qwag', 28535)]"
20,c355e5411f87f7c806a6e3ae239bb164d267174c950966ee63f1984108530a42,2021-10-08 22:26:21,"[('bc1qusgtrzv86w0gq2s3yc4j2r89kuq93454w307dq', 498116)]","[('34ZfrmQ7TQXFXzyaqzXyMTmPPLvjGhynkh', 369478), ('bc1q77x50utxzv2f5r05wnq08gnaueg0lh6taal39k', 126662)]"
21,385204b10040f4d2da372c2bb2781c1a5c5ad579eb8f08c02f0b3989f19b1084,2021-10-08 15:50:20,"[('bc1qumc2qyg537jyy3vn0syp6jt7reztfvahhefvsm', 958781), ('bc1q7skj7j43s0207nqy66n0q94an78cxs4tnaht79', 731375), ('bc1qusgtrzv86w0gq2s3yc4j2r89kuq93454w307dq', 507286)]","[('1GcSFsUjfxrWH16KmeNb6sNNs1vDeDkVUN', 1846318), ('bc1q84eq400024g4gxls905uvfyg2fw0wv3g4vatpj', 346920)]"
22,5b1a113247025ce30219eec5e96729cc02c67846ff96a9dbea32feca21089d3c,2021-10-06 07:36:50,"[('bc1qusgtrzv86w0gq2s3yc4j2r89kuq93454w307dq', 1528308)]","[('37bNaN2qJzSvGxMQBz3VeFq9NrsBqY6CDE', 68067), ('bc1qk5q3xtfxmqps2amypa490leas49y726rg9u352', 1459911)]"
23,144f586c877011f62d67d7e893e5c51099d330497e320365ea03daebb87136ab,2021-10-05 15:17:59,"[('bc1qusgtrzv86w0gq2s3yc4j2r89kuq93454w307dq', 2919019)]","[('3Cff4HRjuT9SEfspb77YwqmSNkJ6nTPWef', 186463), ('bc1qfv9l2tfzddagqgysecrwc4depghl00s4a2jn6u', 2732117)]"
24,f345df6a0e350c35269116a5996d5821eaf29ad4f492aa7ed4616874a17b3a5d,2021-10-05 06:35:13,"[('bc1qusgtrzv86w0gq2s3yc4j2r89kuq93454w307dq', 826873)]","[('32o6upZj25QYUuxw7JyUQhM7GNM2naX2sL', 54664), ('bc1q88fzt3yjhu2x8xcm9h99w60z4dzum6ye7qqka9', 771879)]"
25,3a653d0cb740b85e7532a8c5596f7d1a5918139f6283c2ee13a898e922a51410,2021-10-05 04:42:26,"[('bc1qh0tlvsxu2679rxn7qjt75njlax6vwv352ecuxh', 557675), ('bc1qusgtrzv86w0gq2s3yc4j2r89kuq93454w307dq', 518562)]","[('34Qq8qNJhSstUpdLNJrg2g69RyKzFqTNzA', 826868), ('bc1qe6nnntrhwu3sva0gltyvvdtra4l3dkryl6pwx5', 248303)]"
26,2dd7b2c863fd016cd79274020ec587168b206c7c7dd4ae27ac25c755aa2b011f,2021-10-04 15:55:45,"[('bc1qtxe6xef6zlg4zkfpktdwjesu52zc5vzf2848ej', 1734751), ('bc1qusgtrzv86w0gq2s3yc4j2r89kuq93454w307dq', 742916), ('bc1qu3vnv35clx0prkk8a208yezg69g6d0sx2rl8sq', 721288), ('bc1qusgtrzv86w0gq2s3yc4j2r89kuq93454w307dq', 688441)]","[('3C3ncQDuwsnToFSvDeZqjithoyK2fnkkRm', 3571357), ('bc1qnus4nxjmvutqk0w7f6w3q5dkrtzdf0728p2uz8', 313221)]"
27,4d5953b635baac706323ab79b0358d24940a2ceb6911e1fa521d50d0dc4ab8ec,2021-10-04 15:29:42,"[('bc1qusgtrzv86w0gq2s3yc4j2r89kuq93454w307dq', 2076845)]","[('32o6upZj25QYUuxw7JyUQhM7GNM2naX2sL', 340886), ('bc1qtxe6xef6zlg4zkfpktdwjesu52zc5vzf2848ej', 1734751)]"
