,tx_id,time,inputs,outputs
16,79d7ba68c1f6155af1da50396f4411863177336750768d0a25215cb3eaf0cd5f,2021-10-18 01:44:40,"[('bc1qx5f9m2ty7x26d6ptfq6j9s4a8j5fke6l2na80a', 271767)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 270614)]"
17,f82e3c293b0549e029f8ac5e96c91abb67cd94269e2a30203f03842ed2b8edbb,2021-10-17 23:36:04,"[('1MVZcB6KVnmve7ozLFDDsWQKrKzxt6HhQt', 46170639), ('bc1qrcpl26dgd3lkcfe7h4vl4n2nmd7rplp577dx4u', 7002998)]","[('bc1qtpqgcj6pqp5etm469qpu0ptkprsf5ryt3xr643', 39302576), ('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 13868301)]"
18,70ed6f118fc7a22f9044bd4391a7f7b06ec098a689d5e15ca50e9c58cdc3472a,2021-10-17 21:18:05,"[('3QpYTciYUv8fKPRcTLzds13SqwKzdBnEgw', 1787784)]","[('37Vn7bqwCgVqqLTwJZhkYxNNUiw75vf8Nr', 784978), ('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 1000000)]"
19,e95839641611172531e8ffefd12492cfc5b0edf5274c90a6af1d32c3a4cd5c87,2021-10-17 20:09:29,"[('1DCnFt1AdWy2dJvpXj1dqnwZYd4xdWTCsA', 582149), ('1DCnFt1AdWy2dJvpXj1dqnwZYd4xdWTCsA', 608713), ('1DCnFt1AdWy2dJvpXj1dqnwZYd4xdWTCsA', 519064), ('1DCnFt1AdWy2dJvpXj1dqnwZYd4xdWTCsA', 521800)]","[('bc1qdcjk5ltz0uy9fnt6m3m3jfkw8vgq4xqrn30ww5', 552764), ('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 1665655)]"
20,2994c7f08aae4bcc9dd57c5e795c1a067545663717366ea55de17990bb4e56d2,2021-10-17 19:05:38,"[('bc1q54y3sxcrndvfry6gme3eg0ln2t95vg4evqgumh', 38142), ('bc1q54y3sxcrndvfry6gme3eg0ln2t95vg4evqgumh', 545500)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 290324), ('bc1q54y3sxcrndvfry6gme3eg0ln2t95vg4evqgumh', 289979)]"
21,3ecabcaccc7a04b3857bdefcc4169a6c0470a5fc34ab78796641612ec7180718,2021-10-17 00:19:42,"[('bc1qkaq3sywvyx9xevrwhlru28hjhaner5weh5mdxc', 2583336)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 572500), ('bc1qkaq3sywvyx9xevrwhlru28hjhaner5weh5mdxc', 2007963)]"
22,16c18a89acd4b67d934783a3f6385b750e39ade69279e765a6d21125e07340c6,2021-10-16 21:47:13,"[('bc1q3jsnahpd7fttjs7xj8gvn5tvsl47zquwasjy5h', 1478620)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 1475497)]"
23,377985b9db7f662e8440bdda73a6f799062448bc20b47bb221135bdb3a4d3176,2021-10-16 19:38:38,"[('bc1qfgr2df6kadv592sh26s2j0ft3mlprjfrg4d9kv', 4137549)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 4135371)]"
24,1c6f8745dc55b9a4d0f5034245437a0dbf4f827982ac50918fb71ca44e78443b,2021-10-16 17:09:52,"[('bc1qqvssz26nadw34x4nzjuu6420449qlttmtfcdrf', 180248), ('bc1qqvssz26nadw34x4nzjuu6420449qlttmtfcdrf', 178701)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 259522), ('bc1qgc759e22ueq4vpxrjf0cvevzgjxzzcs6plpds0', 96088)]"
25,53eae18d0817e6c5487ed7fb5eb824cf7358f529df6661770318729e66700269,2021-10-16 16:34:30,"[('bc1qmc7qcplu87r3ee7ytekg6l8vyeae6fxksuqmf3', 544300)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 542378)]"
26,8ebcc767e6987b00d4f370546bef4c7361309b4a8a334cb4e657c4e5c00e8a36,2021-10-16 15:18:53,"[('bc1qundkjcvnvmxkwl8f3va97saqzmvfl3atn5rtn7', 1808964)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 1807042)]"
27,adbece7a0413a24ddefd62933d5799dbfa8fd8a7e9051c526bea52bf939aad57,2021-10-16 14:42:59,"[('bc1qg9q6aatshms45z8f6de9shtqmsulfydgn9l6yf', 200000), ('bc1qg9q6aatshms45z8f6de9shtqmsulfydgn9l6yf', 2800000)]","[('bc1qg9q6aatshms45z8f6de9shtqmsulfydgn9l6yf', 1497420), ('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 1497905)]"
28,0e1d63cec2195315da8dbcdaca802297a5993bd6cc2c32495737d00519fa5285,2021-10-16 13:48:09,"[('bc1qhu4tmgxwdnaqd2ncqf03qlg0dtg5d2e2mdqp9u', 203423), ('bc1qhu4tmgxwdnaqd2ncqf03qlg0dtg5d2e2mdqp9u', 1811622), ('bc1qhu4tmgxwdnaqd2ncqf03qlg0dtg5d2e2mdqp9u', 1395385)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 3406078)]"
29,1533242c813539cc41078d26ab44aee541f14c347287ee0718a61fa188557405,2021-10-16 12:56:15,"[('bc1qtgxgeauagxddwyjecj2q900uytjcspd3zdmxqh', 1830539)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 636027), ('bc1qtgxgeauagxddwyjecj2q900uytjcspd3zdmxqh', 1190301)]"
30,5d506d0f48c6b4b793b88020941f735d59f8293e3e71d3b6e74cd8fa84e5e424,2021-10-18 08:44:18,"[('bc1q5fh0wqq250hnzvgnpx9asgu8wfrslcnqlhym68', 1481869)]","[('bc1q5fh0wqq250hnzvgnpx9asgu8wfrslcnqlhym68', 1222488), ('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 258322)]"
31,79d7ba68c1f6155af1da50396f4411863177336750768d0a25215cb3eaf0cd5f,2021-10-18 01:44:40,"[('bc1qx5f9m2ty7x26d6ptfq6j9s4a8j5fke6l2na80a', 271767)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 270614)]"
32,f82e3c293b0549e029f8ac5e96c91abb67cd94269e2a30203f03842ed2b8edbb,2021-10-17 23:36:04,"[('1MVZcB6KVnmve7ozLFDDsWQKrKzxt6HhQt', 46170639), ('bc1qrcpl26dgd3lkcfe7h4vl4n2nmd7rplp577dx4u', 7002998)]","[('bc1qtpqgcj6pqp5etm469qpu0ptkprsf5ryt3xr643', 39302576), ('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 13868301)]"
33,70ed6f118fc7a22f9044bd4391a7f7b06ec098a689d5e15ca50e9c58cdc3472a,2021-10-17 21:18:05,"[('3QpYTciYUv8fKPRcTLzds13SqwKzdBnEgw', 1787784)]","[('37Vn7bqwCgVqqLTwJZhkYxNNUiw75vf8Nr', 784978), ('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 1000000)]"
34,e95839641611172531e8ffefd12492cfc5b0edf5274c90a6af1d32c3a4cd5c87,2021-10-17 20:09:29,"[('1DCnFt1AdWy2dJvpXj1dqnwZYd4xdWTCsA', 582149), ('1DCnFt1AdWy2dJvpXj1dqnwZYd4xdWTCsA', 608713), ('1DCnFt1AdWy2dJvpXj1dqnwZYd4xdWTCsA', 519064), ('1DCnFt1AdWy2dJvpXj1dqnwZYd4xdWTCsA', 521800)]","[('bc1qdcjk5ltz0uy9fnt6m3m3jfkw8vgq4xqrn30ww5', 552764), ('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 1665655)]"
35,2994c7f08aae4bcc9dd57c5e795c1a067545663717366ea55de17990bb4e56d2,2021-10-17 19:05:38,"[('bc1q54y3sxcrndvfry6gme3eg0ln2t95vg4evqgumh', 38142), ('bc1q54y3sxcrndvfry6gme3eg0ln2t95vg4evqgumh', 545500)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 290324), ('bc1q54y3sxcrndvfry6gme3eg0ln2t95vg4evqgumh', 289979)]"
36,3ecabcaccc7a04b3857bdefcc4169a6c0470a5fc34ab78796641612ec7180718,2021-10-17 00:19:42,"[('bc1qkaq3sywvyx9xevrwhlru28hjhaner5weh5mdxc', 2583336)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 572500), ('bc1qkaq3sywvyx9xevrwhlru28hjhaner5weh5mdxc', 2007963)]"
37,16c18a89acd4b67d934783a3f6385b750e39ade69279e765a6d21125e07340c6,2021-10-16 21:47:13,"[('bc1q3jsnahpd7fttjs7xj8gvn5tvsl47zquwasjy5h', 1478620)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 1475497)]"
38,377985b9db7f662e8440bdda73a6f799062448bc20b47bb221135bdb3a4d3176,2021-10-16 19:38:38,"[('bc1qfgr2df6kadv592sh26s2j0ft3mlprjfrg4d9kv', 4137549)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 4135371)]"
39,1c6f8745dc55b9a4d0f5034245437a0dbf4f827982ac50918fb71ca44e78443b,2021-10-16 17:09:52,"[('bc1qqvssz26nadw34x4nzjuu6420449qlttmtfcdrf', 180248), ('bc1qqvssz26nadw34x4nzjuu6420449qlttmtfcdrf', 178701)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 259522), ('bc1qgc759e22ueq4vpxrjf0cvevzgjxzzcs6plpds0', 96088)]"
40,53eae18d0817e6c5487ed7fb5eb824cf7358f529df6661770318729e66700269,2021-10-16 16:34:30,"[('bc1qmc7qcplu87r3ee7ytekg6l8vyeae6fxksuqmf3', 544300)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 542378)]"
41,8ebcc767e6987b00d4f370546bef4c7361309b4a8a334cb4e657c4e5c00e8a36,2021-10-16 15:18:53,"[('bc1qundkjcvnvmxkwl8f3va97saqzmvfl3atn5rtn7', 1808964)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 1807042)]"
42,adbece7a0413a24ddefd62933d5799dbfa8fd8a7e9051c526bea52bf939aad57,2021-10-16 14:42:59,"[('bc1qg9q6aatshms45z8f6de9shtqmsulfydgn9l6yf', 200000), ('bc1qg9q6aatshms45z8f6de9shtqmsulfydgn9l6yf', 2800000)]","[('bc1qg9q6aatshms45z8f6de9shtqmsulfydgn9l6yf', 1497420), ('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 1497905)]"
43,0e1d63cec2195315da8dbcdaca802297a5993bd6cc2c32495737d00519fa5285,2021-10-16 13:48:09,"[('bc1qhu4tmgxwdnaqd2ncqf03qlg0dtg5d2e2mdqp9u', 203423), ('bc1qhu4tmgxwdnaqd2ncqf03qlg0dtg5d2e2mdqp9u', 1811622), ('bc1qhu4tmgxwdnaqd2ncqf03qlg0dtg5d2e2mdqp9u', 1395385)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 3406078)]"
44,1533242c813539cc41078d26ab44aee541f14c347287ee0718a61fa188557405,2021-10-16 12:56:15,"[('bc1qtgxgeauagxddwyjecj2q900uytjcspd3zdmxqh', 1830539)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 636027), ('bc1qtgxgeauagxddwyjecj2q900uytjcspd3zdmxqh', 1190301)]"
45,5d506d0f48c6b4b793b88020941f735d59f8293e3e71d3b6e74cd8fa84e5e424,2021-10-18 08:44:18,"[('bc1q5fh0wqq250hnzvgnpx9asgu8wfrslcnqlhym68', 1481869)]","[('bc1q5fh0wqq250hnzvgnpx9asgu8wfrslcnqlhym68', 1222488), ('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 258322)]"
46,79d7ba68c1f6155af1da50396f4411863177336750768d0a25215cb3eaf0cd5f,2021-10-18 01:44:40,"[('bc1qx5f9m2ty7x26d6ptfq6j9s4a8j5fke6l2na80a', 271767)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 270614)]"
47,f82e3c293b0549e029f8ac5e96c91abb67cd94269e2a30203f03842ed2b8edbb,2021-10-17 23:36:04,"[('1MVZcB6KVnmve7ozLFDDsWQKrKzxt6HhQt', 46170639), ('bc1qrcpl26dgd3lkcfe7h4vl4n2nmd7rplp577dx4u', 7002998)]","[('bc1qtpqgcj6pqp5etm469qpu0ptkprsf5ryt3xr643', 39302576), ('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 13868301)]"
48,70ed6f118fc7a22f9044bd4391a7f7b06ec098a689d5e15ca50e9c58cdc3472a,2021-10-17 21:18:05,"[('3QpYTciYUv8fKPRcTLzds13SqwKzdBnEgw', 1787784)]","[('37Vn7bqwCgVqqLTwJZhkYxNNUiw75vf8Nr', 784978), ('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 1000000)]"
49,e95839641611172531e8ffefd12492cfc5b0edf5274c90a6af1d32c3a4cd5c87,2021-10-17 20:09:29,"[('1DCnFt1AdWy2dJvpXj1dqnwZYd4xdWTCsA', 582149), ('1DCnFt1AdWy2dJvpXj1dqnwZYd4xdWTCsA', 608713), ('1DCnFt1AdWy2dJvpXj1dqnwZYd4xdWTCsA', 519064), ('1DCnFt1AdWy2dJvpXj1dqnwZYd4xdWTCsA', 521800)]","[('bc1qdcjk5ltz0uy9fnt6m3m3jfkw8vgq4xqrn30ww5', 552764), ('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 1665655)]"
50,2994c7f08aae4bcc9dd57c5e795c1a067545663717366ea55de17990bb4e56d2,2021-10-17 19:05:38,"[('bc1q54y3sxcrndvfry6gme3eg0ln2t95vg4evqgumh', 38142), ('bc1q54y3sxcrndvfry6gme3eg0ln2t95vg4evqgumh', 545500)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 290324), ('bc1q54y3sxcrndvfry6gme3eg0ln2t95vg4evqgumh', 289979)]"
51,3ecabcaccc7a04b3857bdefcc4169a6c0470a5fc34ab78796641612ec7180718,2021-10-17 00:19:42,"[('bc1qkaq3sywvyx9xevrwhlru28hjhaner5weh5mdxc', 2583336)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 572500), ('bc1qkaq3sywvyx9xevrwhlru28hjhaner5weh5mdxc', 2007963)]"
52,16c18a89acd4b67d934783a3f6385b750e39ade69279e765a6d21125e07340c6,2021-10-16 21:47:13,"[('bc1q3jsnahpd7fttjs7xj8gvn5tvsl47zquwasjy5h', 1478620)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 1475497)]"
53,377985b9db7f662e8440bdda73a6f799062448bc20b47bb221135bdb3a4d3176,2021-10-16 19:38:38,"[('bc1qfgr2df6kadv592sh26s2j0ft3mlprjfrg4d9kv', 4137549)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 4135371)]"
54,1c6f8745dc55b9a4d0f5034245437a0dbf4f827982ac50918fb71ca44e78443b,2021-10-16 17:09:52,"[('bc1qqvssz26nadw34x4nzjuu6420449qlttmtfcdrf', 180248), ('bc1qqvssz26nadw34x4nzjuu6420449qlttmtfcdrf', 178701)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 259522), ('bc1qgc759e22ueq4vpxrjf0cvevzgjxzzcs6plpds0', 96088)]"
55,53eae18d0817e6c5487ed7fb5eb824cf7358f529df6661770318729e66700269,2021-10-16 16:34:30,"[('bc1qmc7qcplu87r3ee7ytekg6l8vyeae6fxksuqmf3', 544300)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 542378)]"
56,8ebcc767e6987b00d4f370546bef4c7361309b4a8a334cb4e657c4e5c00e8a36,2021-10-16 15:18:53,"[('bc1qundkjcvnvmxkwl8f3va97saqzmvfl3atn5rtn7', 1808964)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 1807042)]"
57,adbece7a0413a24ddefd62933d5799dbfa8fd8a7e9051c526bea52bf939aad57,2021-10-16 14:42:59,"[('bc1qg9q6aatshms45z8f6de9shtqmsulfydgn9l6yf', 200000), ('bc1qg9q6aatshms45z8f6de9shtqmsulfydgn9l6yf', 2800000)]","[('bc1qg9q6aatshms45z8f6de9shtqmsulfydgn9l6yf', 1497420), ('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 1497905)]"
58,0e1d63cec2195315da8dbcdaca802297a5993bd6cc2c32495737d00519fa5285,2021-10-16 13:48:09,"[('bc1qhu4tmgxwdnaqd2ncqf03qlg0dtg5d2e2mdqp9u', 203423), ('bc1qhu4tmgxwdnaqd2ncqf03qlg0dtg5d2e2mdqp9u', 1811622), ('bc1qhu4tmgxwdnaqd2ncqf03qlg0dtg5d2e2mdqp9u', 1395385)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 3406078)]"
59,1533242c813539cc41078d26ab44aee541f14c347287ee0718a61fa188557405,2021-10-16 12:56:15,"[('bc1qtgxgeauagxddwyjecj2q900uytjcspd3zdmxqh', 1830539)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 636027), ('bc1qtgxgeauagxddwyjecj2q900uytjcspd3zdmxqh', 1190301)]"
60,5d506d0f48c6b4b793b88020941f735d59f8293e3e71d3b6e74cd8fa84e5e424,2021-10-18 08:44:18,"[('bc1q5fh0wqq250hnzvgnpx9asgu8wfrslcnqlhym68', 1481869)]","[('bc1q5fh0wqq250hnzvgnpx9asgu8wfrslcnqlhym68', 1222488), ('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 258322)]"
61,79d7ba68c1f6155af1da50396f4411863177336750768d0a25215cb3eaf0cd5f,2021-10-18 01:44:40,"[('bc1qx5f9m2ty7x26d6ptfq6j9s4a8j5fke6l2na80a', 271767)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 270614)]"
62,f82e3c293b0549e029f8ac5e96c91abb67cd94269e2a30203f03842ed2b8edbb,2021-10-17 23:36:04,"[('1MVZcB6KVnmve7ozLFDDsWQKrKzxt6HhQt', 46170639), ('bc1qrcpl26dgd3lkcfe7h4vl4n2nmd7rplp577dx4u', 7002998)]","[('bc1qtpqgcj6pqp5etm469qpu0ptkprsf5ryt3xr643', 39302576), ('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 13868301)]"
63,70ed6f118fc7a22f9044bd4391a7f7b06ec098a689d5e15ca50e9c58cdc3472a,2021-10-17 21:18:05,"[('3QpYTciYUv8fKPRcTLzds13SqwKzdBnEgw', 1787784)]","[('37Vn7bqwCgVqqLTwJZhkYxNNUiw75vf8Nr', 784978), ('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 1000000)]"
64,e95839641611172531e8ffefd12492cfc5b0edf5274c90a6af1d32c3a4cd5c87,2021-10-17 20:09:29,"[('1DCnFt1AdWy2dJvpXj1dqnwZYd4xdWTCsA', 582149), ('1DCnFt1AdWy2dJvpXj1dqnwZYd4xdWTCsA', 608713), ('1DCnFt1AdWy2dJvpXj1dqnwZYd4xdWTCsA', 519064), ('1DCnFt1AdWy2dJvpXj1dqnwZYd4xdWTCsA', 521800)]","[('bc1qdcjk5ltz0uy9fnt6m3m3jfkw8vgq4xqrn30ww5', 552764), ('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 1665655)]"
65,2994c7f08aae4bcc9dd57c5e795c1a067545663717366ea55de17990bb4e56d2,2021-10-17 19:05:38,"[('bc1q54y3sxcrndvfry6gme3eg0ln2t95vg4evqgumh', 38142), ('bc1q54y3sxcrndvfry6gme3eg0ln2t95vg4evqgumh', 545500)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 290324), ('bc1q54y3sxcrndvfry6gme3eg0ln2t95vg4evqgumh', 289979)]"
66,3ecabcaccc7a04b3857bdefcc4169a6c0470a5fc34ab78796641612ec7180718,2021-10-17 00:19:42,"[('bc1qkaq3sywvyx9xevrwhlru28hjhaner5weh5mdxc', 2583336)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 572500), ('bc1qkaq3sywvyx9xevrwhlru28hjhaner5weh5mdxc', 2007963)]"
67,16c18a89acd4b67d934783a3f6385b750e39ade69279e765a6d21125e07340c6,2021-10-16 21:47:13,"[('bc1q3jsnahpd7fttjs7xj8gvn5tvsl47zquwasjy5h', 1478620)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 1475497)]"
68,377985b9db7f662e8440bdda73a6f799062448bc20b47bb221135bdb3a4d3176,2021-10-16 19:38:38,"[('bc1qfgr2df6kadv592sh26s2j0ft3mlprjfrg4d9kv', 4137549)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 4135371)]"
69,1c6f8745dc55b9a4d0f5034245437a0dbf4f827982ac50918fb71ca44e78443b,2021-10-16 17:09:52,"[('bc1qqvssz26nadw34x4nzjuu6420449qlttmtfcdrf', 180248), ('bc1qqvssz26nadw34x4nzjuu6420449qlttmtfcdrf', 178701)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 259522), ('bc1qgc759e22ueq4vpxrjf0cvevzgjxzzcs6plpds0', 96088)]"
70,53eae18d0817e6c5487ed7fb5eb824cf7358f529df6661770318729e66700269,2021-10-16 16:34:30,"[('bc1qmc7qcplu87r3ee7ytekg6l8vyeae6fxksuqmf3', 544300)]","[('1HGrrfTFUVhrdr1YjwsFsa412SrGDrv53A', 542378)]"
